@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.2009,39,350,278,72,0,79.428571,20.571429,0,0.699503,0.053219,0.191907,29.578748,65.059288,743.126973,10319.579609,-9576.452636,2.12322,29.484513,-27.361293,533.477881,1.524223,22777.121838,0.964912,165,0.055866,10,0.944134,169,0.035088,6,0.942857,0.964912,0.953757,0.908809,0.982848,0.978033,0.794286,0.056071,0.943929,0.205714,0.786497,0.794286,0.781355,0.736972,0.956147,0.847449,0.438424,0.794286,0,0.008,0,0.015625,0,15.625,6170,5217,34140,93.428571,17.035714,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,40,349,287,62,0,82.234957,17.765043,0,0.728681,0.071737,0.197939,39.595874,67.070116,746.172788,342.859212,403.313576,2.138031,0.982405,1.155626,463.038203,1.326757,19310.976832,0.988304,169,0.146067,26,0.853933,152,0.011696,2,0.866667,0.988304,0.923497,0.847939,0.975228,0.961563,0.82235,0.09087,0.90913,0.17765,0.768626,0.82235,0.788042,0.737733,0.950508,0.809768,0.477386,0.82235,0,0.002,0,0,0,0,12127,5310,34047,95.702006,27.005731,?,0,0,0,0,-139.668321,-318.825065,-290.607903,-237.408201,-174.408201,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,40,349,290,59,0,83.094556,16.905444,0,0.760687,0.070823,0.188993,38.969363,64.030041,751.595484,288.523525,463.071959,2.153569,0.826715,1.326854,517.885965,1.483914,21203.831722,0.894737,153,0.011236,2,0.988764,176,0.105263,18,0.987097,0.894737,0.93865,0.888891,0.990834,0.989886,0.830946,0.030177,0.969823,0.169054,0.844542,0.830946,0.831696,0.788375,0.970497,0.857112,0.64936,0.830946,0,0.001,0,0,0,0,12249,5310,34047,97.994269,31.446991,?,0,0,0,0,-160.932009,-350.614889,-324.240226,-264.285005,-193.285005,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,39,350,276,74,0,78.857143,21.142857,0,0.687315,0.068355,0.191889,37.869467,65.048933,748.54967,304.144296,444.405374,2.138713,0.868984,1.26973,491.329552,1.403799,20577.233662,0.988304,169,0.089385,16,0.910615,163,0.011696,2,0.913514,0.988304,0.949438,0.900155,0.983159,0.96955,0.788571,0.064814,0.935186,0.211429,0.766507,0.788571,0.77019,0.726446,0.957501,0.778711,0.377641,0.788571,0.001,0.001,0,0,0,0,11917,5217,34140,96.285714,27.535714,?,0,0,0,0,-124.192941,-237.995193,-228.462623,-189.368924,-142.368924,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,38,351,283,68,0,80.626781,19.373219,0,0.708008,0.064715,0.190643,36.111727,64.658199,745.213818,326.704387,418.509431,2.123116,0.930782,1.192335,495.146467,1.410674,21238.702834,0.994152,170,0.15,27,0.85,153,0.005848,1,0.862944,0.994152,0.923913,0.850279,0.963873,0.935014,0.806268,0.08914,0.91086,0.193732,0.757092,0.806268,0.772207,0.722427,0.948887,0.775463,0.389812,0.806268,0,0.001,0,0,0,0,11810,5124,34233,94.301994,23.611111,?,0,0,0,0,-108.342295,-195.794162,-192.934289,-161.001359,-122.001359,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,38,351,268,83,0,76.353276,23.646724,0,0.6551,0.070076,0.195663,39.102968,66.360575,745.213818,304.910138,440.30368,2.123116,0.86869,1.254426,496.938455,1.415779,21315.567969,0.94152,161,0.055556,10,0.944444,170,0.05848,10,0.94152,0.94152,0.94152,0.885965,0.985981,0.982723,0.763533,0.064508,0.935492,0.236467,0.718604,0.763533,0.736654,0.679727,0.951554,0.796596,0.392888,0.763533,0,0.001,0.015625,0,15.625,0,12148,5124,34233,96.296296,29.487179,?,0,0,0,0,-144.954138,-303.627696,-287.60388,-236.019916,-173.019916,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,39,350,307,43,0,87.714286,12.285714,0,0.814806,0.051559,0.158027,28.569215,53.579385,746.54967,233.354574,513.195096,2.132999,0.666727,1.466272,562.645716,1.607559,23564.005695,0.988304,169,0.128492,23,0.871508,156,0.011696,2,0.880208,0.988304,0.931129,0.863673,0.978242,0.959609,0.877143,0.074598,0.925402,0.122857,0.860886,0.877143,0.863481,0.819901,0.967052,0.879946,0.528221,0.877143,0,0.001,0,0,0,0,12037,5217,34140,98.285714,30.035714,?,0,0,0,0,-123.873975,-256.197148,-247.679581,-201.931636,-146.931636,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,39,350,290,60,0,82.857143,17.142857,0,0.744071,0.062899,0.181113,34.852446,61.406705,746.54967,321.009058,425.540611,2.132999,0.917169,1.21583,521.588293,1.490252,21844.4914,0.988304,169,0.134078,24,0.865922,155,0.011696,2,0.875648,0.988304,0.928571,0.858556,0.967787,0.943634,0.828571,0.078628,0.921372,0.171429,0.822303,0.828571,0.815858,0.767674,0.956392,0.847277,0.477608,0.828571,0.001,0.001,0,0,0,0,12033,5217,34140,95.714286,29.178571,?,0,0,0,0,-136.827173,-269.150345,-259.00185,-213.253905,-158.253905,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,39,350,307,43,0,87.714286,12.285714,0,0.822293,0.047249,0.153231,26.180888,51.953175,746.54967,204.846541,541.703129,2.132999,0.585276,1.547723,579.536099,1.655817,24271.387012,0.929825,159,0.044693,8,0.955307,171,0.070175,12,0.952096,0.929825,0.940828,0.885827,0.984073,0.972928,0.877143,0.037968,0.962032,0.122857,0.874694,0.877143,0.871311,0.833884,0.97902,0.904266,0.568304,0.877143,0,0.001,0,0,0,0,12144,5217,34140,98,23.892857,?,0,0,0,0,-136.822834,-300.155328,-281.702095,-229.299903,-166.299903,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.2009,39,350,280,70,0,80,20,0,0.704106,0.065482,0.199023,36.140942,67.421672,749.558707,303.491451,446.067256,2.141596,0.867118,1.274478,491.436742,1.404105,20348.863697,0.976608,167,0.039106,7,0.960894,172,0.023392,4,0.95977,0.976608,0.968116,0.937272,0.994626,0.992255,0.8,0.053236,0.946764,0.2,0.746508,0.8,0.759971,0.727186,0.968858,0.818452,0.415384,0.8,0,0.001,0,0,0,0,12022,5217,34140,97.428571,24.571429,?,0,0,0,0,-133.523958,-273.676597,-259.041273,-213.293328,-158.293328,?,?,?,?
