Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
planning_relax,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,163.0,19.0,13.0,6.0,0.0,68.42105263157895,31.57894736842105,0.0,0.0,0.38668371727896117,0.42941728056463624,91.90700937600786,92.17768752513044,17.15822931890074,14.781803838024025,2.3764254808767156,0.9030647009947759,0.7779896756854751,0.1250750253093008,1.0895870614749492,0.05734668744604996,126.4061133428589,1.0,13.0,1.0,6.0,0.0,0.0,0.0,0.0,0.6842105263157895,1.0,0.8125000000000001,0.0,0.7435897435897436,0.8932943690296631,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.3157894736842105,0.46814404432132967,0.6842105263157895,0.5559210526315791,0.0,0.7435897435897436,0.7948078624162216,0.40625000000000006,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23272.0,4120.0,100.0,97.36842105263158,?
planning_relax,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,163.0,19.0,13.0,6.0,0.0,68.42105263157895,31.57894736842105,0.0,0.10937499999999992,0.4443468665206957,0.500277777918395,105.61239018516919,107.38843259426591,17.15822931890074,19.074033226669666,-1.9158039077689253,0.9030647009947759,1.003896485614193,-0.10083178461941712,-2.5234558209473663,-0.1328134642603877,-292.7533317866069,0.9230769230769231,12.0,0.8333333333333334,5.0,0.16666666666666666,1.0,0.07692307692307693,1.0,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.13592873654160803,0.38461538461538464,0.710876168696483,0.6842105263157895,0.5944669365721997,0.4055330634278002,0.3157894736842105,0.6408668730650156,0.6842105263157895,0.6263157894736843,0.13592873654160803,0.38461538461538464,0.588864698162808,0.5250000000000001,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23272.0,4120.0,100.0,100.0,?
planning_relax,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,12.0,6.0,0.0,66.66666666666667,33.333333333333336,0.0,0.052631578947368335,0.4141170467888841,0.4939184292408514,101.92600789169569,110.23790632292035,15.351537618934936,22.796363359554043,-7.444825740619107,0.8528632010519409,1.2664646310863357,-0.41360143003439487,-1.5586186043217338,-0.08658992246231854,-179.64107289613827,0.8461538461538461,11.0,0.8,4.0,0.2,1.0,0.15384615384615385,2.0,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.05547001962252291,0.47692307692307695,0.6925594516092253,0.6666666666666666,0.6205128205128205,0.3794871794871795,0.3333333333333333,0.6222222222222222,0.6666666666666666,0.6369047619047618,0.05547001962252291,0.4769230769230769,0.6257991101128355,0.5178571428571428,0.6666666666666666,0.001,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,88.88888888888889,91.66666666666667,?
planning_relax,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,14.0,4.0,0.0,77.77777777777777,22.22222222222222,0.0,0.26530612244897966,0.4086611280599428,0.479607878344577,100.5831507943253,107.04392716413986,15.351537618934936,19.127438871478894,-3.7759012525439584,0.8528632010519409,1.0626354928599386,-0.2097722918079977,-0.5095998858507784,-0.02831110476948769,-58.734747543849075,1.0,13.0,0.8,4.0,0.2,1.0,0.0,0.0,0.7647058823529411,1.0,0.8666666666666666,0.39107694443752145,0.46153846153846156,0.7174373514871253,0.7777777777777778,0.5777777777777778,0.4222222222222222,0.2222222222222222,0.8300653594771242,0.7777777777777778,0.7185185185185186,0.39107694443752145,0.46153846153846156,0.6538012368894722,0.6,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,94.44444444444444,94.44444444444444,?
planning_relax,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,13.0,5.0,0.0,72.22222222222223,27.77777777777778,0.0,0.0,0.4237898324523188,0.5110236434499342,104.30675612582607,114.05562781290925,15.351537618934936,21.281503055891932,-5.929965436956996,0.8528632010519409,1.1823057253273295,-0.32944252427538867,-2.3433663348693887,-0.13018701860385493,-270.0884240810279,1.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.8387096774193548,0.0,0.35384615384615387,0.7080614395659643,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.2777777777777778,0.5216049382716049,0.7222222222222222,0.6057347670250895,0.0,0.35384615384615387,0.5805675034841701,0.4193548387096774,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,94.44444444444444,94.44444444444444,?
planning_relax,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,12.0,6.0,0.0,66.66666666666667,33.333333333333336,0.0,0.052631578947368335,0.45253044455123237,0.49633695043458653,111.38063989448784,110.77769730258626,15.351537618934936,18.74352482992265,-3.391987210987713,0.8528632010519409,1.0413069349957027,-0.18844373394376182,-3.207176916619085,-0.17817649536772695,-369.6482902691265,0.8461538461538461,11.0,0.8,4.0,0.2,1.0,0.15384615384615385,2.0,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.05547001962252291,0.4461538461538462,0.7038934921287862,0.6666666666666666,0.6205128205128205,0.3794871794871795,0.3333333333333333,0.6222222222222222,0.6666666666666666,0.6369047619047618,0.05547001962252291,0.4461538461538461,0.5930821901410136,0.5178571428571428,0.6666666666666666,0.001,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,100.0,100.0,?
planning_relax,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,10.0,8.0,0.0,55.55555555555556,44.44444444444444,0.0,-0.263157894736842,0.4758125473679829,0.5511331647487586,117.11102895679844,123.00769234387427,15.351537618934936,21.791878858552092,-6.440341239617156,0.8528632010519409,1.2106599365862274,-0.3577967355342865,-5.01285509565039,-0.278491949758355,-577.7646084542845,0.7692307692307693,10.0,1.0,5.0,0.0,0.0,0.23076923076923078,3.0,0.6666666666666666,0.7692307692307693,0.7142857142857142,-0.2773500981126146,0.38461538461538464,0.7633727948773196,0.5555555555555556,0.7863247863247863,0.2136752136752137,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.5158730158730158,-0.2773500981126146,0.38461538461538464,0.6228034719456287,0.3571428571428571,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,100.0,100.0,?
planning_relax,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,13.0,5.0,0.0,72.22222222222223,27.77777777777778,0.0,0.0,0.36671848050795125,0.44541051140010857,90.25986983177582,99.41139938114324,15.351537618934936,15.020497782824744,0.3310398361101914,0.8528632010519409,0.8344720990458191,0.018391102006121745,1.083239089415838,0.06017994941199099,124.85044877953246,1.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.8387096774193548,0.0,0.6153846153846154,0.8419166303781688,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.2777777777777778,0.5216049382716049,0.7222222222222222,0.6057347670250895,0.0,0.6153846153846154,0.7295756712423379,0.4193548387096774,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,100.0,97.22222222222223,?
planning_relax,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,12.0,6.0,0.0,66.66666666666667,33.333333333333336,0.0,-0.1020408163265307,0.467964556116234,0.5210820340004696,115.17941463552778,116.30056513378126,15.351537618934936,19.33663142232358,-3.9850938033886454,0.8528632010519409,1.074257301240199,-0.2213941001882581,-4.769988438374411,-0.2649993576874673,-549.7726245508576,0.9230769230769231,12.0,1.0,5.0,0.0,0.0,0.07692307692307693,1.0,0.7058823529411765,0.9230769230769231,0.8000000000000002,-0.1504142093990467,0.26153846153846155,0.6945693760739009,0.6666666666666666,0.7435897435897436,0.25641025641025644,0.3333333333333333,0.5098039215686275,0.6666666666666666,0.577777777777778,-0.1504142093990467,0.26153846153846155,0.5638917817839385,0.4000000000000001,0.6666666666666666,0.001,0.003,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,100.0,100.0,?
planning_relax,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.0170502182E7,164.0,18.0,13.0,5.0,0.0,72.22222222222223,27.77777777777778,0.0,0.0,0.41710799003089183,0.48938250400196115,102.66216426789991,109.22553085367315,15.351537618934936,18.109741315656322,-2.7582036967213863,0.8528632010519409,1.0060967397586846,-0.1532335387067437,-1.7118615164868436,-0.09510341758260242,-197.30332912658324,1.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.8387096774193548,0.0,0.4,0.7448394051900838,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.2777777777777778,0.5216049382716049,0.7222222222222222,0.6057347670250895,0.0,0.4,0.6112835875090776,0.4193548387096774,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,4095.0,23405.0,3987.0,100.0,100.0,?
