@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20170503.1942,547,548,517,31,0,94.343066,5.656934,0,0.921241,0.029017,0.11483,16.052615,38.221222,1187.972486,166.290323,1021.682163,2.167833,0.303449,1.864384,1054.571953,1.924401,48300.638217,0.991561,235,0.019293,6,0.980707,305,0.008439,2,0.975104,0.991561,0.983264,0.970427,0.996988,0.995291,0.943431,0.019181,0.980819,0.056569,0.943152,0.943431,0.942531,0.927098,0.992303,0.964504,0.926283,0.943431,0.003,0.002,0,0,0,0,13318,52461,52554,99.270073,18.020073,?,0,0,0,0,-3096.585286,-3582.506458,-3586.2591,-3261.273215,-3110.273215,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,549,546,494,52,0,90.47619,9.52381,0,0.867343,0.035223,0.14354,19.485846,47.839998,1177.048857,299.955833,877.093024,2.155767,0.54937,1.606397,1003.993879,1.838817,45727.824372,0.987342,234,0.048544,15,0.951456,294,0.012658,3,0.939759,0.987342,0.962963,0.934217,0.991903,0.989503,0.904762,0.032259,0.967741,0.095238,0.90948,0.904762,0.904521,0.877924,0.983065,0.943107,0.869673,0.904762,0,0.009,0,0.015625,0,15.625,6170,52647,52368,97.619048,16.849817,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,548,547,488,59,0,89.213894,10.786106,0,0.85012,0.035368,0.145358,19.565977,48.464048,1178.291129,285.05086,893.240269,2.154097,0.521117,1.63298,999.929508,1.828025,45506.430594,0.983193,234,0.048544,15,0.951456,294,0.016807,4,0.939759,0.983193,0.960986,0.930484,0.99195,0.988288,0.892139,0.033553,0.966447,0.107861,0.903101,0.892139,0.89234,0.864689,0.982142,0.938716,0.852847,0.892139,0.001,0.012,0,0.015625,0,15.625,6170,52554,52461,97.806216,16.636197,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,547,548,478,70,0,87.226277,12.773723,0,0.822983,0.034268,0.145527,18.957636,48.499909,1181.534609,259.347384,922.187225,2.156085,0.473262,1.682823,999.524313,1.823949,45527.187409,0.94958,226,0.032258,10,0.967742,300,0.05042,12,0.957627,0.94958,0.953586,0.918243,0.995012,0.992164,0.872263,0.036838,0.963162,0.127737,0.874307,0.872263,0.872722,0.834939,0.983721,0.931567,0.843831,0.872263,0,0.01,0,0.015625,0,15.625,6170,52461,52554,97.992701,16.62865,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,548,547,485,62,0,88.665448,11.334552,0,0.843564,0.036075,0.145397,19.957218,48.467295,1179.537602,250.30162,929.235983,2.156376,0.45759,1.698786,1000.431862,1.828943,45576.756277,0.97479,232,0.029126,9,0.970874,300,0.02521,6,0.962656,0.97479,0.968685,0.944355,0.993324,0.991522,0.886654,0.028104,0.971896,0.113346,0.896968,0.886654,0.887591,0.860117,0.983867,0.936155,0.840439,0.886654,0,0.009,0,0,0,0,6170,52554,52461,98.354662,17.047532,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,547,548,499,49,0,91.058394,8.941606,0,0.876656,0.031851,0.133324,17.620055,44.377235,1187.972486,214.970533,973.001953,2.167833,0.392282,1.775551,1028.12142,1.876134,47089.172671,0.987342,234,0.028939,9,0.971061,302,0.012658,3,0.962963,0.987342,0.975,0.955761,0.99536,0.99296,0.910584,0.023173,0.976827,0.089416,0.921636,0.910584,0.910469,0.890559,0.987416,0.951498,0.884768,0.910584,0,0.008,0,0.015625,0,15.625,6170,52461,52554,99.087591,16.879562,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,547,548,476,72,0,86.861314,13.138686,0,0.816339,0.037368,0.158763,20.672183,52.893588,1185.135074,377.41129,807.723785,2.162655,0.688707,1.473949,967.356529,1.765249,44201.178577,0.983193,234,0.041935,13,0.958065,297,0.016807,4,0.947368,0.983193,0.964948,0.937662,0.992545,0.989643,0.868613,0.040546,0.959454,0.131387,0.870895,0.868613,0.86651,0.832913,0.98029,0.926,0.836644,0.868613,0,0.008,0,0.015625,0,15.625,6170,52461,52554,95.80292,16.332117,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,546,549,488,61,0,88.888889,11.111111,0,0.846753,0.035769,0.147711,19.78775,49.184618,1189.19925,312.328103,876.871148,2.166119,0.568904,1.597215,994.939255,1.812276,45533.020794,0.97479,232,0.025723,8,0.974277,303,0.02521,6,0.966667,0.97479,0.970711,0.948157,0.992097,0.988618,0.888889,0.026238,0.973762,0.111111,0.904287,0.888889,0.890289,0.866141,0.982506,0.935649,0.856944,0.888889,0,0.008,0,0,0,0,6170,52368,52647,97.449909,16.689435,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,547,548,496,52,0,90.510949,9.489051,0,0.868254,0.033802,0.139265,18.699775,46.397549,1185.135074,211.134781,974.000294,2.162655,0.385282,1.777373,1019.461512,1.860331,46581.998463,0.983193,234,0.03871,12,0.96129,298,0.016807,4,0.95122,0.983193,0.966942,0.941223,0.994619,0.992123,0.905109,0.028407,0.971593,0.094891,0.912447,0.905109,0.904502,0.880741,0.987087,0.954758,0.867343,0.905109,0.001,0.01,0,0,0,0,6170,52461,52554,98.722628,16.879562,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1942,549,546,489,57,0,89.56044,10.43956,0,0.856023,0.035152,0.143238,19.446623,47.773472,1175.457918,246.837738,928.62018,2.152853,0.452084,1.70077,1004.679984,1.840073,45699.163662,0.970588,231,0.025974,8,0.974026,300,0.029412,7,0.966527,0.970588,0.968553,0.94417,0.995826,0.994393,0.895604,0.024549,0.975451,0.104396,0.909703,0.895604,0.897461,0.872796,0.984212,0.941702,0.878257,0.895604,0.001,0.008,0,0.015625,0,15.625,6170,52647,52368,98.534799,17.147436,?,?,?,?,?,?,?,?,?,?,?,?,?,?
