@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 28\nSize of the tree: 55\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

planning_relax-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,164,18,13,5,0,72.222222,27.777778,0,0,0.405149,0.44799,99.718729,99.987071,15.351538,15.34825,0.003287,0.852863,0.852681,0.000183,0.041673,0.002315,4.803062,1,13,1,5,0,0,0,0,0.722222,1,0.83871,0,0.5,0.722222,0.722222,0.722222,0.277778,0.277778,0.521605,0.722222,0.605735,0,0.5,0.598765,0.419355,0.722222,0,0,0,0,0,0,8145,28508,9090,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1,?
seeds,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,18,3,0,85.714286,14.285714,0,0.785714,0.098822,0.3087,22.235023,65.485233,33.284213,3222.164213,-3188.88,1.584963,153.436391,-151.851429,26.610225,1.267154,1678.918251,0.857143,6,0.142857,2,0.857143,12,0.142857,1,0.75,0.857143,0.8,0.693375,0.821429,0.690476,0.857143,0.071429,0.928571,0.142857,0.861111,0.857143,0.85641,0.788065,0.880952,0.793651,0.85641,0.857143,0,0,0,0,0,0,6722,18957,3333,85.714286,33.333333,'Number of leaves: 10\nSize of the tree: 19\n',19,10,10,?
seeds,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,17,4,0,80.952381,19.047619,0,0.714286,0.137426,0.355984,30.920836,75.515615,33.284213,3228.470778,-3195.186565,1.584963,153.736704,-152.151741,24.11139,1.148161,1521.259348,0.571429,4,0.071429,1,0.928571,13,0.428571,3,0.8,0.571429,0.666667,0.553399,0.602041,0.570635,0.809524,0.095238,0.904762,0.190476,0.833333,0.809524,0.804424,0.729815,0.782313,0.725132,0.804424,0.809524,0,0,0,0,0,0,5914,18957,3333,80.952381,34.920635,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8,?
seeds,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,18,3,0,85.714286,14.285714,0,0.785714,0.106872,0.309003,24.046248,65.549339,33.284213,2154.397477,-2121.113264,1.584963,102.590356,-101.005394,26.210311,1.24811,1653.686505,0.714286,5,0.071429,1,0.928571,13,0.285714,2,0.833333,0.714286,0.769231,0.67082,0.795918,0.714286,0.857143,0.071429,0.928571,0.142857,0.855159,0.857143,0.853236,0.785974,0.872449,0.7928,0.853236,0.857143,0,0,0,0,0,0,6318,18957,3333,85.714286,34.920635,'Number of leaves: 9\nSize of the tree: 17\n',17,9,9,?
seeds,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,20,1,0,95.238095,4.761905,0,0.928571,0.046698,0.177645,10.507112,37.68427,33.284213,6.379104,26.905109,1.584963,0.303767,1.281196,30.408186,1.448009,1918.542957,1,7,0.071429,1,0.928571,13,0,0,0.875,1,0.933333,0.901388,0.959184,0.859694,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.952137,0.931938,0.97619,0.931253,0.952137,0.952381,0.001,0,0,0,0,0,5106,18957,3333,95.238095,34.920635,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6,?
seeds,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,20,1,0,95.238095,4.761905,0,0.928571,0.041152,0.180843,9.259259,38.362525,33.284213,1074.451804,-1041.167591,1.584963,51.164372,-49.579409,30.662484,1.460118,1934.587333,0.857143,6,0,0,1,14,0.142857,1,1,0.857143,0.923077,0.894427,0.892857,0.904762,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.952137,0.931938,0.952381,0.926587,0.952137,0.952381,0.001,0,0,0,0,0,5914,18957,3333,95.238095,34.920635,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8,?
seeds,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,20,1,0,95.238095,4.761905,0,0.928571,0.049948,0.183069,11.23836,38.834869,33.284213,1074.87162,-1041.587408,1.584963,51.184363,-49.5994,30.242667,1.440127,1908.099871,0.857143,6,0,0,1,14,0.142857,1,1,0.857143,0.923077,0.894427,0.892857,0.904762,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.952137,0.931938,0.952381,0.926587,0.952137,0.952381,0.001,0,0,0,0,0,5106,18957,3333,95.238095,36.507937,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6,?
seeds,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,21,0,0,100,0,0,1,0.005172,0.011712,1.163594,2.484529,33.284213,0.238213,33.045999,1.584963,0.011343,1.573619,33.045999,1.573619,2084.970408,1,7,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0.015625,0,15.625,0,5914,18957,3333,100,33.333333,'Number of leaves: 8\nSize of the tree: 15\n',15,8,8,?
seeds,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,20,1,0,95.238095,4.761905,0,0.928571,0.046594,0.177023,10.483749,37.552257,33.284213,6.368398,26.915815,1.584963,0.303257,1.281705,30.418892,1.448519,1919.218426,1,7,0.071429,1,0.928571,13,0,0,0.875,1,0.933333,0.901388,0.959184,0.859694,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.952137,0.931938,0.97619,0.931253,0.952137,0.952381,0.001,0,0,0,0,0,5106,18957,3333,95.238095,34.920635,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6,?
seeds,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170502.181,189,21,19,2,0,90.47619,9.52381,0,0.857143,0.076067,0.250407,17.115143,53.119379,33.284213,1080.387323,-1047.103111,1.584963,51.447015,-49.862053,28.364871,1.350708,1789.624107,0.857143,6,0.071429,1,0.928571,13,0.142857,1,0.857143,0.857143,0.857143,0.785714,0.903061,0.755102,0.904762,0.047619,0.952381,0.095238,0.904762,0.904762,0.904762,0.857143,0.931973,0.845805,0.904762,0.904762,0.001,0,0,0,0,0,5106,18957,3333,90.47619,33.333333,'Number of leaves: 6\nSize of the tree: 11\n',11,6,6,?
