@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,19,3,0,86.363636,13.636364,0,0.803571,0.053971,0.164289,29.657474,54.956444,48.214761,12.73143,35.483331,2.19158,0.578701,1.612879,36.513498,1.659704,1609.758917,1,10,0.083333,1,0.916667,11,0,0,0.909091,1,0.952381,0.912871,1,1,0.863636,0.053412,0.946588,0.136364,0.845041,0.863636,0.841991,0.813854,0.989814,0.960227,0.680952,0.863636,0,0,0,0,0,0,11939,23033,6293,100,23.295455,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,19,4,0,82.608696,17.391304,0,0.765306,0.061816,0.187642,33.053407,60.875681,54.195162,20.404515,33.790647,2.356311,0.887153,1.469159,39.204895,1.704561,1741.996655,1,9,0.071429,1,0.928571,13,0,0,0.9,1,0.947368,0.914174,0.984127,0.976543,0.826087,0.047516,0.952484,0.173913,0.765217,0.826087,0.781337,0.762443,0.965148,0.946437,0.583821,0.826087,0,0,0,0,0,0,11939,22940,6386,95.652174,21.73913,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,19,4,0,82.608696,17.391304,0,0.764103,0.064486,0.200221,34.375688,64.738427,57.788686,22.663365,35.125322,2.512552,0.985364,1.527188,37.245404,1.619365,1666.256404,1,9,0.071429,1,0.928571,13,0,0,0.9,1,0.947368,0.914174,1,1,0.826087,0.053071,0.946929,0.173913,0.772464,0.826087,0.790698,0.763664,0.979952,0.912112,0.603984,0.826087,0,0,0,0,0,0,11939,22940,6386,91.304348,23.369565,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,16,7,0,69.565217,30.434783,0,0.585052,0.077479,0.241017,41.313529,77.952926,56.788686,36.128094,20.660593,2.469073,1.570787,0.898287,31.254967,1.358912,1396.005059,1,9,0.071429,1,0.928571,13,0,0,0.9,1,0.947368,0.914174,1,1,0.695652,0.084758,0.915242,0.304348,0.613043,0.695652,0.637822,0.589696,0.932301,0.85253,0.432774,0.695652,0,0,0,0,0,0,11939,22940,6386,95.652174,21.73913,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,18,5,0,78.26087,21.73913,0,0.692513,0.070625,0.221601,38.546093,73.563007,51.538797,31.754505,19.784291,2.240817,1.380631,0.860187,31.998675,1.391247,1413.56461,0.9,9,0.153846,2,0.846154,11,0.1,1,0.818182,0.9,0.857143,0.74048,0.95,0.929026,0.782609,0.092261,0.907739,0.217391,0.744862,0.782609,0.759144,0.684965,0.937625,0.832392,0.652116,0.782609,0,0,0,0,0,0,11939,22940,6386,86.956522,20.652174,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,20,2,0,90.909091,9.090909,0,0.869822,0.042283,0.136305,23.408879,45.986052,44.982938,8.052542,36.930395,2.044679,0.366025,1.678654,36.930395,1.678654,1617.358711,1,10,0,0,1,12,0,0,1,1,1,1,1,1,0.909091,0.017914,0.982086,0.090909,0.909091,0.909091,0.909091,0.891176,0.990107,0.960606,0.86,0.909091,0,0,0,0,0,0,11939,23033,6293,100,20.454545,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,17,5,0,77.272727,22.727273,0,0.660494,0.063813,0.206349,35.328426,69.61731,44.982938,22.614337,22.368601,2.044679,1.027924,1.016755,31.721533,1.441888,1389.237723,1,10,0.166667,2,0.833333,10,0,0,0.833333,1,0.909091,0.833333,0.933333,0.884679,0.772727,0.103773,0.896227,0.227273,0.731061,0.772727,0.746556,0.679597,0.921732,0.829291,0.565152,0.772727,0,0,0,0,0,0,11939,23033,6293,95.454545,18.181818,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,21,1,0,95.454545,4.545455,0,0.934328,0.037192,0.120062,20.590344,40.506038,44.982938,6.428386,38.554552,2.044679,0.292199,1.75248,38.554552,1.75248,1688.48829,1,10,0,0,1,12,0,0,1,1,1,1,1,1,0.954545,0.013369,0.986631,0.045455,0.962121,0.954545,0.949036,0.945828,0.992781,0.969697,0.915152,0.954545,0,0,0,0,0,0,11939,23033,6293,100,18.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,20,2,0,90.909091,9.090909,0,0.869048,0.038763,0.114135,21.357663,38.296195,46.206199,6.454439,39.75176,2.100282,0.293384,1.806898,39.75176,1.806898,1745.370148,1,10,0.083333,1,0.916667,11,0,0,0.909091,1,0.952381,0.912871,1,1,0.909091,0.045056,0.954944,0.090909,0.924587,0.909091,0.903319,0.88108,1,1,0.873016,0.909091,0,0,0,0,0,0,11939,23033,6293,100,21.022727,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,19,3,0,86.363636,13.636364,0,0.810345,0.064928,0.174612,35.404751,57.903013,47.079634,12.804968,34.274667,2.139983,0.582044,1.557939,34.344982,1.561136,1510.70766,0.888889,8,0,0,1,13,0.111111,1,1,0.888889,0.941176,0.908514,1,1,0.863636,0.041268,0.958732,0.136364,0.897727,0.863636,0.856888,0.83301,0.979426,0.92684,0.797759,0.863636,0,0,0,0,0,0,11939,23033,6293,100,26.704545,?,?,?,?,?,?,?,?,?,?,?,?,?,?
